Latent Dim,Layers,LR,Momentum,TrainAcc,ValAcc
1000,7,0.1,0.0,0.966605007648468,0.945900022983551
1000,7,0.1,0.9,0.9495400190353394,0.9524999856948853
1000,7,0.3,0.0,0.9538350105285645,0.9534000158309937
1000,7,0.3,0.9,0.49862998723983765,0.5038999915122986
1000,7,0.5,0.0,0.9512150287628174,0.9510999917984009
1000,7,0.5,0.9,0.4993099868297577,0.5067999958992004
1000,5,0.05,0.0,0.9992750287055969,0.9509999752044678
1000,5,0.05,0.9,0.9515050053596497,0.9503999948501587
1000,5,0.1,0.0,0.9750850200653076,0.9484000205993652
1000,5,0.1,0.9,0.9500550031661987,0.9483000040054321
1000,5,0.3,0.0,0.9518899917602539,0.9521999955177307
1000,5,0.3,0.9,0.9471499919891357,0.9488999843597412
1000,5,0.5,0.0,0.9502050280570984,0.9495000243186951
1000,5,0.5,0.9,0.5023900270462036,0.5001000165939331
1000,3,0.1,0.0,0.9720349907875061,0.9409999847412109
1000,3,0.1,0.9,0.9509950280189514,0.9473000168800354
1000,3,0.3,0.0,0.9529849886894226,0.9531999826431274
1000,3,0.3,0.9,0.9501649737358093,0.9490000009536743
1000,3,0.5,0.0,0.9518749713897705,0.9502000212669373
1000,3,0.5,0.9,0.9491450190544128,0.9466999769210815
